TrackTemp,RPM,Throttle,Brake,DRS,LapTime,IsPersonalBest,Compound,TyreLife,FreshTyre,TrackStatus,Weight,PitDuration
33.75,9531.494047619048,46.10119047619048,99,0,91.614,0,6.0,20.0,1,1,838.4719498646424,0.0
33.9,9394.374251497004,47.08083832335329,93,16,80.619,1,1.0,6.0,0,1,837.1351138030466,0.0
33.9,9429.505952380952,48.086309523809526,89,24,79.812,1,1.0,7.0,0,0,835.7982777414508,0.0
33.9,9437.838905775076,47.723404255319146,85,22,79.562,1,1.0,8.0,0,0,834.4614416798548,0.0
33.6,9427.572727272727,46.83030303030303,92,19,79.4,1,1.0,9.0,0,0,833.124605618259,0.0
34.5,9391.140718562874,46.91916167664671,92,21,79.489,0,1.0,10.0,0,0,831.7877695566632,0.0
33.9,9378.386904761905,48.68452380952381,89,24,79.766,0,1.0,11.0,0,0,830.4509334950674,0.0
33.8,9411.663636363635,48.84848484848485,87,5,79.497,0,1.0,12.0,0,0,829.1140974334714,0.0
33.8,9493.006060606062,49.19090909090909,89,0,79.346,1,1.0,13.0,0,0,827.7772613718756,0.0
33.8,9549.771771771771,47.453453453453456,91,0,79.193,1,1.0,14.0,0,0,826.4404253102798,0.0
33.7,9467.268882175227,48.4441087613293,89,0,79.714,0,1.0,15.0,0,0,825.1035892486839,0.0
33.9,9508.462235649547,48.6797583081571,89,0,79.118,1,1.0,16.0,0,0,823.766753187088,0.0
34.0,9535.144144144144,48.72372372372372,86,0,79.238,0,1.0,17.0,0,1,822.4299171254922,0.0
33.7,9450.216216216217,46.78378378378378,91,0,79.738,0,1.0,18.0,0,0,821.0930810638963,0.0
33.85,9515.691394658754,46.88724035608308,89,0,79.937,0,1.0,19.0,0,0,819.7562450023005,0.0
34.1,9444.138554216868,47.3855421686747,88,0,80.471,0,1.0,20.0,0,0,818.4194089407047,0.0
33.8,9578.626139817628,48.577507598784194,86,0,79.54,0,1.0,21.0,0,0,817.0825728791087,0.0
34.2,9460.467065868264,48.84131736526946,86,0,79.029,1,1.0,22.0,0,0,815.7457368175129,0.0
34.0,9455.01524390244,48.30487804878049,82,0,79.145,0,1.0,23.0,0,0,814.4089007559171,0.0
33.8,9429.014925373134,49.50149253731343,91,0,79.182,0,1.0,24.0,0,0,813.0720646943212,0.0
33.95,9551.714285714286,50.58358662613982,82,0,79.247,0,1.0,25.0,0,0,811.7352286327254,0.0
34.1,9551.021406727828,50.5565749235474,78,0,78.824,1,1.0,26.0,0,0,810.3983925711295,0.0
34.3,9566.787878787878,51.50606060606061,81,0,78.431,1,1.0,27.0,0,0,809.0615565095337,0.0
34.45,9646.270769230769,50.003076923076925,80,0,78.57,0,1.0,28.0,0,0,807.7247204479378,0.0
33.8,9556.130303030302,51.29090909090909,82,0,78.701,0,1.0,29.0,0,0,806.387884386342,0.0
33.8,9518.352583586626,49.41641337386018,79,0,78.405,1,1.0,30.0,0,0,805.0510483247461,0.0
33.75,9563.349544072948,50.41337386018237,88,0,78.912,0,1.0,31.0,0,0,803.7142122631503,0.0
34.2,9531.91076923077,50.38461538461539,77,0,78.235,1,1.0,32.0,0,0,802.3773762015544,0.0
34.4,9522.400611620797,49.97553516819572,78,0,78.09,1,1.0,33.0,0,0,801.0405401399586,0.0
34.4,9559.568389057751,51.05775075987842,80,0,78.302,0,1.0,34.0,0,0,799.7037040783628,0.0
34.35,9510.877300613496,49.1840490797546,81,0,78.263,0,1.0,35.0,0,0,798.3668680167668,0.0
34.2,9530.760736196318,50.42638036809816,84,0,78.63,0,1.0,36.0,0,0,797.030031955171,0.0
35.0,9525.430303030304,50.16969696969697,80,0,78.275,0,1.0,37.0,0,0,795.6931958935752,0.0
35.05,9579.472727272729,50.06969696969697,86,0,78.69,0,1.0,38.0,0,0,794.3563598319793,0.0
34.9,9441.860606060603,49.5,87,0,78.59,0,1.0,39.0,0,0,793.0195237703834,0.0
35.2,8847.410447761195,48.6044776119403,109,0,79.048,0,1.0,40.0,0,0,791.6826877087876,0.0
35.3,9854.641176470588,50.36176470588235,97,0,96.516,0,1.0,41.0,0,0,790.3458516471917,24.188
35.1,9703.883435582822,48.50920245398773,92,0,80.582,0,3.0,1.0,1,0,789.0090155855959,0.0
35.8,9577.748466257668,49.122699386503065,90,0,78.239,0,3.0,2.0,1,0,787.6721795240001,0.0
36.15,9484.366666666669,47.26969696969697,93,16,77.85,1,3.0,3.0,1,0,786.3353434624041,0.0
36.4,9497.103030303031,47.345454545454544,99,20,79.021,0,3.0,4.0,1,0,784.9985074008083,0.0
36.6,9493.981762917932,46.151975683890576,94,4,78.996,0,3.0,5.0,1,0,783.6616713392125,0.0
36.8,9551.09009009009,48.15915915915916,90,0,79.318,0,3.0,6.0,1,0,782.3248352776167,0.0
37.0,9531.360606060603,48.333333333333336,91,0,78.772,0,3.0,7.0,1,0,780.9879992160207,0.0
36.3,9482.941896024466,47.81039755351682,92,0,78.73,0,3.0,8.0,1,0,779.6511631544249,0.0
36.55,9463.648484848483,47.68484848484849,92,0,78.705,0,3.0,9.0,1,0,778.3143270928291,0.0
36.6,9749.033536585366,51.52134146341464,90,0,79.13,0,3.0,10.0,1,0,776.9774910312332,0.0
36.6,9598.782874617737,50.82262996941896,88,0,77.276,1,3.0,11.0,1,0,775.6406549696374,0.0
36.5,9463.583333333334,47.73456790123457,87,13,77.694,0,3.0,12.0,1,0,774.3038189080415,0.0
36.7,9336.71511627907,44.85174418604651,102,25,79.016,0,3.0,13.0,1,0,772.9669828464457,0.0
36.3,9473.262048192772,47.07831325301205,94,6,81.447,0,3.0,14.0,1,0,771.6301467848498,0.0
36.1,9601.41875,50.05,84,0,79.452,0,3.0,15.0,1,0,770.293310723254,0.0
35.9,9612.521341463416,49.56707317073171,86,0,77.758,0,3.0,16.0,1,1,768.9564746616581,0.0
35.6,9644.631578947368,50.14551083591331,82,0,77.796,0,3.0,17.0,1,1,767.6196386000622,0.0
35.2,9665.814814814816,51.69753086419753,81,0,77.435,0,3.0,18.0,1,0,766.2828025384664,0.0
34.6,9624.417445482866,50.2803738317757,79,0,77.278,0,3.0,19.0,1,0,764.9459664768706,0.0
34.6,9654.490797546012,50.5920245398773,82,0,77.311,0,3.0,20.0,1,0,763.6091304152746,0.0
34.7,9624.2049689441,49.85714285714285,85,0,77.599,0,3.0,21.0,1,0,762.2722943536788,0.0
34.8,9587.375,49.625,82,0,77.254,1,3.0,22.0,1,0,760.935458292083,0.0
34.4,9693.36923076923,50.972307692307695,82,0,77.639,0,3.0,23.0,1,0,759.5986222304871,0.0
34.4,9721.47076923077,51.55384615384615,80,0,77.777,0,3.0,24.0,1,0,758.2617861688913,0.0
34.349999999999994,9646.009287925695,49.59133126934984,83,0,77.432,0,3.0,25.0,1,0,756.9249501072954,0.0
34.3,9674.36,50.67692307692308,80,0,77.51,0,3.0,26.0,1,0,755.5881140456996,0.0
34.3,9644.080996884735,49.96261682242991,84,0,77.442,0,3.0,27.0,1,0,754.2512779841037,0.0
34.2,9630.538699690402,51.294117647058826,78,0,77.136,1,3.0,28.0,1,0,752.9144419225079,0.0
34.3,9637.22049689441,51.07142857142857,82,0,77.309,0,3.0,29.0,1,0,751.5776058609121,0.0
34.3,9657.450310559008,50.27329192546584,82,0,77.288,0,3.0,30.0,1,0,750.2407697993161,0.0
34.65,9661.148936170212,50.91489361702128,80,0,77.099,1,3.0,31.0,1,0,748.9039337377203,0.0
34.6,9639.253125,49.34375,80,0,77.241,0,3.0,32.0,1,0,747.5670976761245,0.0
34.5,9572.446483180427,50.92354740061162,82,0,77.397,0,3.0,33.0,1,0,746.2302616145287,0.0
34.4,8591.345013477088,37.698113207547166,76,0,77.659,0,3.0,34.0,1,0,744.8934255529327,0.0
34.3,9132.618055555557,34.398148148148145,114,0,89.53,0,3.0,35.0,1,2,743.5565894913369,0.0
34.35,9637.969696969696,45.518181818181816,102,0,102.394,0,3.0,36.0,1,2,742.2197534297411,0.0
34.5,9685.121212121212,47.68787878787879,90,0,79.673,0,3.0,37.0,1,0,740.8829173681452,0.0
33.8,9528.26586102719,47.14501510574018,89,0,78.406,0,3.0,38.0,1,0,739.5460813065494,0.0
33.7,9544.935582822083,48.24233128834356,92,16,78.724,0,3.0,39.0,1,0,738.2092452449535,0.0
34.55,9606.969788519638,46.725075528700906,95,18,78.505,0,3.0,40.0,1,0,736.8724091833576,0.0
34.46666666666667,5964.596306068602,13.62664907651715,102,3,79.179,0,3.0,41.0,1,0,735.5355731217618,0.0
33.75,9407.550295857987,43.33431952662722,99,0,90.842,0,6.0,20.0,1,1,837.0395175627459,0.0
33.9,9441.344410876132,43.8821752265861,99,0,80.609,1,1.0,4.0,0,1,835.7228678111867,0.0
33.9,9189.547619047618,44.75595238095238,99,0,79.711,1,1.0,5.0,0,0,834.4062180596276,0.0
